song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Justified & Ancient,The KLF,7E81YAfHOaSlnevLjKMghT,49,0.628,0.953,10.0,-4.989,0.0,0.0626,0.00276,0.0132,0.427,0.515,111.134,audio_features,7E81YAfHOaSlnevLjKMghT,spotify:track:7E81YAfHOaSlnevLjKMghT,https://api.spotify.com/v1/tracks/7E81YAfHOaSlnevLjKMghT,https://api.spotify.com/v1/audio-analysis/7E81YAfHOaSlnevLjKMghT,228372.0,4.0
Kashmir - Remaster,Led Zeppelin,5v2vkoTamoisazJFanHJjk,48,0.484,0.609,2.0,-8.81,1.0,0.0483,0.448,0.0007,0.0415,0.61,80.483,audio_features,5v2vkoTamoisazJFanHJjk,spotify:track:5v2vkoTamoisazJFanHJjk,https://api.spotify.com/v1/tracks/5v2vkoTamoisazJFanHJjk,https://api.spotify.com/v1/audio-analysis/5v2vkoTamoisazJFanHJjk,517120.0,3.0
Thieves in the Temple,Prince,403oiKw757eJnbDKPSjhHV,42,0.775,0.676,5.0,-10.582,0.0,0.042,0.0228,0.0,0.0631,0.646,129.948,audio_features,403oiKw757eJnbDKPSjhHV,spotify:track:403oiKw757eJnbDKPSjhHV,https://api.spotify.com/v1/tracks/403oiKw757eJnbDKPSjhHV,https://api.spotify.com/v1/audio-analysis/403oiKw757eJnbDKPSjhHV,200680.0,4.0
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",John Travolta,1pj3RzpA5AoXkZln0NockI,0,0.762,0.608,0.0,-11.36,1.0,0.0644,0.294,0.00148,0.117,0.841,106.931,audio_features,1pj3RzpA5AoXkZln0NockI,spotify:track:1pj3RzpA5AoXkZln0NockI,https://api.spotify.com/v1/tracks/1pj3RzpA5AoXkZln0NockI,https://api.spotify.com/v1/audio-analysis/1pj3RzpA5AoXkZln0NockI,169840.0,4.0
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,1pj3RzpA5AoXkZln0NockI,0,0.762,0.608,0.0,-11.36,1.0,0.0644,0.294,0.00148,0.117,0.841,106.931,audio_features,1pj3RzpA5AoXkZln0NockI,spotify:track:1pj3RzpA5AoXkZln0NockI,https://api.spotify.com/v1/tracks/1pj3RzpA5AoXkZln0NockI,https://api.spotify.com/v1/audio-analysis/1pj3RzpA5AoXkZln0NockI,169840.0,4.0
Young Hearts Run Free,Candi Staton,3MFa9idQuY4iJLWsZl3tIQ,71,0.654,0.652,7.0,-9.304,0.0,0.0426,0.13,1.49e-05,0.202,0.846,115.389,audio_features,3MFa9idQuY4iJLWsZl3tIQ,spotify:track:3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/tracks/3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/audio-analysis/3MFa9idQuY4iJLWsZl3tIQ,248360.0,4.0
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,7ePFDzrnLt3Ynqgy2UFWri,59,0.727,0.588,1.0,-9.568,1.0,0.0253,0.058,5.46e-06,0.0414,0.964,104.413,audio_features,7ePFDzrnLt3Ynqgy2UFWri,spotify:track:7ePFDzrnLt3Ynqgy2UFWri,https://api.spotify.com/v1/tracks/7ePFDzrnLt3Ynqgy2UFWri,https://api.spotify.com/v1/audio-analysis/7ePFDzrnLt3Ynqgy2UFWri,201093.0,4.0
Rock 'n' Roll Suicide - 2012 Remaster,David Bowie,1k5iH4KDKi56MFvlnrALNV,59,0.457,0.308,0.0,-11.474,1.0,0.0398,0.309,1.64e-06,0.107,0.271,103.11,audio_features,1k5iH4KDKi56MFvlnrALNV,spotify:track:1k5iH4KDKi56MFvlnrALNV,https://api.spotify.com/v1/tracks/1k5iH4KDKi56MFvlnrALNV,https://api.spotify.com/v1/audio-analysis/1k5iH4KDKi56MFvlnrALNV,178266.0,3.0
Common People,Pulp,0LEoCPq4QlV2h41Fm5ENJ3,0,0.319,0.839,0.0,-7.341,1.0,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,audio_features,0LEoCPq4QlV2h41Fm5ENJ3,spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/tracks/0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/audio-analysis/0LEoCPq4QlV2h41Fm5ENJ3,350373.0,4.0
Unbelievable,EMF,5VYTKiOnHw4iTrB9pG3yum,65,0.636,0.848,1.0,-6.854,1.0,0.0362,0.000339,0.0402,0.141,0.934,104.073,audio_features,5VYTKiOnHw4iTrB9pG3yum,spotify:track:5VYTKiOnHw4iTrB9pG3yum,https://api.spotify.com/v1/tracks/5VYTKiOnHw4iTrB9pG3yum,https://api.spotify.com/v1/audio-analysis/5VYTKiOnHw4iTrB9pG3yum,209813.0,4.0
